Layer,Head,Prompt,Input_Type,Comment,Pattern_Categories
10,1,15,1,and strong vertical sep lines,"['vertical sep lines', 'and strong', 'vertical sep', 'strong vertical', 'sep lines']"
10,7,15,1,very strong vertical sep lines,"['vertical sep lines', 'very strong', 'vertical sep', 'strong vertical', 'sep lines']"
10,8,15,1,very strong vertical sep lines,"['vertical sep lines', 'very strong', 'vertical sep', 'strong vertical', 'sep lines']"
10,0,15,1,apart from that mostly noise in and between blocks,"['apart from', 'and between', 'from that', 'in and', 'mostly noise', 'noise in', 'that mostly', 'between blocks']"
10,9,15,1,again outside of these regions very strong vertical sep lines,"['vertical sep lines', 'very strong', 'these regions', 'of these', 'regions very', 'of the', 'vertical sep', 'strong vertical', 'sep lines', 'outside of', 'again outside']"
10,10,15,1,tokens attending to themselves (diagonal),"['tokens attending to themselves', 'tokens at', 'to the', 'to themselves', 'themselves (diagonal)', 'tokens attending', 'tokens attend', 'attending to']"
10,10,15,1,again all tokens of second block attending to subject and property of last fact in theory,"['second block', 'all tokens', 'tokens of', 'fact in', 'block attending', 'to subject', 'of second', 'last fact', 'subject and', 'again all', 'attending to', 'property of', 'in the', 'in theory', 'and property', 'of last']"
10,10,15,1,tokens in non-query-fact regions attend to properties of premise and consequence of if-statement,"['regions attend', 'to properties', 'properties of', 'of premise', 'tokens in', 'consequence of', 'of if-statement', 'in no', 'and consequence', 'non-query-fact regions', 'premise and', 'attend to', 'in non-query-fact']"
10,11,15,1,again only very strong vertical sep lines,"['vertical sep lines', 'very strong', 'again only', 'only very', 'vertical sep', 'strong vertical', 'sep lines']"
10,2,15,1,only very strong vertical sep lines,"['vertical sep lines', 'very strong', 'only very', 'vertical sep', 'strong vertical', 'sep lines']"
9,0,15,1,fact tokens attending to themselves,"['tokens attending to themselves', 'tokens at', 'to the', 'to themselves', 'fact tokens', 'tokens attending', 'tokens attend', 'attending to']"
9,0,15,1,implicit if-statement tokens attending in no clear pattern,"['if-statement tokens', 'attending in', 'tokens at', 'clear pattern', 'tokens attending', 'in no', 'implicit if-statement', 'tokens attend', 'no clear']"
9,0,15,1,if-statement attending to properties at end of both its premise and consequence,"['both its', 'properties at', 'to properties', 'at end', 'of both', 'if-statement attending', 'its premise', 'end of', 'and consequence', 'attending to', 'premise and']"
10,3,15,1,very slightly,['very slightly']
10,3,15,1,but mostly: very strong vertical sep lines,"['vertical sep lines', 'very strong', 'but most', 'mostly: very', 'vertical sep', 'strong vertical', 'sep lines', 'but mostly:']"
10,6,15,1,again outside of these regions very strong vertical sep lines,"['vertical sep lines', 'very strong', 'these regions', 'of these', 'regions very', 'of the', 'vertical sep', 'strong vertical', 'sep lines', 'outside of', 'again outside']"
10,5,15,1,again outside of these regions very strong vertical sep lines,"['vertical sep lines', 'very strong', 'these regions', 'of these', 'regions very', 'of the', 'vertical sep', 'strong vertical', 'sep lines', 'outside of', 'again outside']"
9,9,15,1,no clear pattern except:,"['clear pattern', 'pattern except:', 'no clear']"
9,9,15,1,vertical lines at sep tokens,"['vertical line', 'at sep', 'lines at', 'sep tokens', 'vertical lines']"
9,9,15,1,in-block region attention: mostly attention of several tokens to properties inside block (also some outside block),"['to properties', 'region attention:', '(also some', 'properties in', 'region at', 'properties inside', 'outside block)', 'of several', 'attention: mostly', 'block (also', 'inside block', 'attention of', 'some outside', 'several tokens', 'mostly attention', 'tokens to', 'in-block region']"
9,11,15,1,only strong vertical sep lines,"['vertical sep lines', 'vertical sep', 'strong vertical', 'only strong', 'sep lines']"
9,8,15,1,tokens of premise and consequence attending to property of premise,"['tokens of', 'of premise', 'and consequence', 'to property', 'attending to', 'premise and', 'property of', 'consequence attending']"
9,8,15,1,also strong attention to tokens outside of main diagonal block regions: tokens of second block attending to property of premise of if-statement,"['regions: tokens', 'second block', 'tokens of', 'of premise', 'block attending', 'strong attention', 'of main', 'attention to', 'tokens outside', 'of if-statement', 'of second', 'outside of', 'diagonal block', 'premise of', 'to property', 'also strong', 'block regions:', 'main diagonal', 'attending to', 'block regions', 'property of', 'to tokens']"
9,10,15,1,vertical sep lines,"['vertical sep lines', 'vertical sep', 'sep lines']"
9,10,15,1,again attention inside (ans slightly outside) blocks of several tokens (mostly 'is' and delimiters) to subject and properties in block,"['in block', 'and delimiters)', 'attention in', 'properties in', 'blocks of', 'to subject', 'inside (ans', 'of several', 'and properties', 'again attention', 'slightly outside)', 'outside) blocks', 'subject and', ""'is' and"", ""(mostly 'is'"", '(ans slightly', 'several tokens', 'attention inside', 'tokens (mostly', 'delimiters) to']"
9,7,15,1,again if-statement attending to properties of both premise and consequence,"['to properties', 'both premise', 'properties of', 'of both', 'if-statement attending', 'again if-statement', 'and consequence', 'in if-statement', 'attending to', 'premise and']"
9,1,15,1,no clear pattern here,"['clear pattern', 'no clear', 'pattern here']"
9,1,15,1,if-statement attending to subject and property tokens of its own statements,"['property tokens', 'property token', 'tokens of', 'if-statement attending', 'to subject', 'own statements', 'subject and', 'of its', 'attending to', 'its own', 'and property']"
8,10,15,1,strong vertical lines except for where attention is given to other tokens (of course since sum has to be 1 (attentions are normalized)),"['lines except', 'attention is', '1 (attentions', 'sum has', 'vertical line', 'strong vertical', 'given to', 'for where', 'are normalized))', 'to be', 'has to', 'course since', 'except for', 'be 1', 'is given', 'where attention', '(attentions are', 'tokens (of', 'since sum', 'other tokens', '(of course', 'to other', 'vertical lines']"
8,11,15,1,attention inside block regions,"['attention in', 'inside block', 'block regions', 'attention inside']"
8,11,15,1,no notable (sub) patterns inside of blocks,"['notable (sub)', 'no notable', 'inside of', 'of block', '(sub) patterns', 'of blocks', 'patterns inside']"
8,11,15,1,again vertical lines,"['vertical line', 'vertical lines', 'again vertical']"
8,9,15,1,attention inside of block regions determined by seperation of theory into statements,"['regions determined', 'attention in', 'of the', 'by seperation', 'determined by', 'of theory', 'inside of', 'of block', 'theory into', 'seperation of', 'block regions', 'attention inside', 'into statements']"
8,9,15,1,most notably statements attending to their own property (at the end of the statement),"['at the', 'the end', 'statements attend', '(at the', 'statements attending', 'of the', 'the statement)', 'most notably', 'property (at', 'to the', 'end of', 'their own', 'own property', 'notably statements', 'to their', 'attending to']"
9,5,15,1,second block region: attention of all tokens (except delimiters between statements i.e. facts and implicit rule) to all subjects and properties in this block,"['i.e. facts', 'second block', 'in this', 'of all', 'all tokens', 'properties in', 'implicit rule)', 'of a', 'and implicit', 'statements i.e.', 'tokens (except', 'delimiters between', 'facts and', 'rule) to', 'and properties', 'region: attention', 'between statements', 'to all', 'this block', 'block region:', 'attention of', '(except delimiters', 'subjects and', 'all subjects']"
9,5,15,1,if-statement attends to last property tokens of both premise and consequence,"['to last', 'property tokens', 'both premise', 'property token', 'statement attends', 'tokens of', 'of both', 'last property', 'attends to', 'and consequence', 'if-statement attends', 'premise and']"
8,6,15,1,tokens very slightly attending to previous tokens in statement,"['in statement', 'tokens in', 'previous tokens', 'very slightly', 'tokens very', 'to previous', 'attending to', 'slightly attending', 'previous token']"
8,7,15,1,delimiters and 'is' attend to tokens in tokens in second block (implicit if-statement block),"['second block', ""and 'is'"", 'if-statement block)', 'tokens in', 'block (implicit', 'in to', ""'is' attend"", 'delimiters and', 'in second', 'implicit if-statement', 'attend to', 'to tokens', 'if-statement block', '(implicit if-statement', 'in tokens']"
8,7,15,1,in if-statement block region: minecraft pig pattern: delimiters 'if' and 'then' attending to following and/or preceding statement(s) (premise and consequence),"['pattern: delimiters', 'pig pattern:', 'statement(s) (premise', ""'then' attending"", 'minecraft pig', 'to following', 'and/or preceding', 'following and/or', ""and 'then'"", ""delimiters 'if'"", 'and consequence)', '(premise and', 'and consequence', 'region: minecraft', 'block region:', 'in if-statement', 'preceding statement(s)', 'attending to', 'premise and', 'if-statement block', ""'if' and""]"
8,7,15,1,subject of statements attend to body of premise and consequence,"['body of', 'statements attend', 'to body', 'of premise', 'and consequence', 'of statements', 'premise and', 'attend to', 'subject of']"
8,7,15,1,'is' of statements attends to body or premise and consequence but most strongly to subject and property of those statements,"['statements attends', 'but most', 'statements attend', 'to body', 'consequence but', 'to subject', 'attends to', ""'is' of"", 'and consequence', 'those statements', 'subject and', 'of statements', 'premise and', 'property of', 'of those', 'most strongly', 'or premise', 'strongly to', 'and property', 'body or']"
8,5,15,1,'if' attending to the premise,"['to the', 'attending to', ""'if' attending"", 'the premise']"
8,5,15,1,'then' attending to the consequence,"[""'then' attending"", 'to the', 'the consequence', 'attending to']"
8,4,15,1,strong vertical lines,"['vertical line', 'strong vertical', 'vertical lines']"
8,4,15,1,attention only in block regions which are not the regions including the query fact,"['query fact', 'in block', 'regions including', 'attention only', 'which are', 'the regions', 'including the', 'not the', 'are not', 'block regions', 'regions which', 'only in', 'the query']"
8,4,15,1,then attends strongly to 'if',"['attends strongly', 'then attends', ""to 'if'"", 'strongly to']"
8,0,15,1,again cls tokens attending to query region,"['cls tokens', 'tokens at', 'query region', 'to query', 'tokens attending', 'tokens attend', 'again cls', 'attending to']"
8,0,15,1,interestingly strongest attention to 'is' token of query fact for all these positions,"['query fact', 'these positions', 'fact for', ""'is' token"", 'all these', ""to 'is'"", 'token of', ""'is' to"", 'attention to', 'for all', 'of query', 'strongest attention', 'interestingly strongest']"
7,3,15,1,again attention in block form in lower triangular part for if-statement,"['lower triangular', 'part for', 'in block', 'attention in', 'for if-statement', 'form in', 'again attention', 'in lower', 'block form', 'triangular part']"
7,3,15,1,strong vertical sep-lines,"['vertical sep', 'strong vertical', 'vertical sep-lines']"
7,1,15,1,no super clear patterns,"['no super', 'clear patterns', 'super clear', 'clear pattern']"
7,1,15,1,in if-statement tokens in premise and consequence attending to next token,"['if-statement tokens', 'in premise', 'tokens in', 'and consequence', 'next token', 'in if-statement', 'attending to', 'premise and', 'to next', 'consequence attending']"
7,1,15,1,is and dots attending to next dot and is respectively,"['next dot', 'dot and', 'dots attend', 'and dots', 'and dot', 'is respectively', 'and is', 'dots attending', 'attending to', 'is and', 'to next']"
7,7,15,1,agains cls tokens attending to whole query region,"['cls tokens', 'to whole', 'agains cls', 'tokens at', 'query region', 'tokens attending', 'tokens attend', 'attending to', 'whole query']"
7,7,15,1,leakage at query fact in theory position in to query region bordered by vertical sep lines,"['vertical sep lines', 'query fact', 'bordered by', 'region bordered', 'position in', 'fact in', 'query region', 'vertical sep', 'to query', 'at query', 'in to', 'sep lines', 'theory position', 'by vertical', 'leakage at', 'in the', 'in theory']"
7,8,15,1,relevant (no in common part) of rule attends to 'are' token,"[""'are' token"", 'common part)', 'part) of', '(no in', 'in common', 'rule attends', 'attends to', 'relevant (no', 'of rule', ""to 'are'""]"
7,8,15,1,premise attends to 'then' following it starting the consequence,"['premise attend', 'starting the', 'the consequence', ""to 'then'"", 'attends to', ""'then' following"", 'following it', 'it starting', 'premise attends']"
7,8,15,1,leakage into query region at query fact in theory position,"['query fact', 'region at', 'fact in', 'query region', 'to query', 'at query', 'theory position', 'into query', 'in the', 'leakage into', 'in theory']"
7,11,15,1,'is' attends to subject in both premise and consequence of it-statement,"['both premise', ""'is' attends"", 'to subject', 'attends to', 'of it-statement', 'consequence of', 'subject in', ""'is' attend"", 'and consequence', 'in both', 'premise and']"
7,11,15,1,-again cls tokens and subject of query fact in theory and in query and last dot of theory attending to first 2 cls tokens,"['cls tokens', 'query fact', 'first 2', '-again cls', '2 cls', 'to first', 'and subject', 'fact in', 'last dot', 'of the', 'theory attending', 'and in', 'dot of', 'of theory', 'and last', 'tokens and', 'query and', 'again cls', 'in query', 'attending to', 'of query', 'in the', 'subject of', 'in theory', 'theory attend', 'theory and']"
7,11,15,1,leakage into query region at position of query fact in theory,"['query fact', 'region at', 'fact in', 'position of', 'query region', 'at position', 'to query', 'of query', 'into query', 'in the', 'leakage into', 'in theory']"
7,11,15,1,last dot of theory also again attends to query region (and itself),"['last dot', 'query region', 'of the', 'to query', 'also again', 'dot of', 'theory also', 'attends to', 'of theory', '(and itself)', 'region (and', 'again attends']"
7,6,15,1,slight attention in small blocks on mail diagonal,"['attention in', 'in small', 'small blocks', 'slight attention', 'blocks on', 'mail diagonal', 'on mail']"
7,6,15,1,strong vertical sep-lines,"['vertical sep', 'strong vertical', 'vertical sep-lines']"
7,6,15,1,cls tokens attend to whole query region,"['cls tokens', 'to whole', 'tokens at', 'query region', 'tokens attend', 'whole query', 'attend to']"
3,7,15,1,delimiters and 'is' attending to delimiters (but comma not attending to other delimiters besides comma),"['comma not', 'delimiters besides', '(but comma', ""and 'is'"", 'other delimiters', 'to delimiters', ""'is' attending"", 'delimiters (but', ""'is' attend"", 'besides comma)', 'delimiters and', 'not attending', 'attending to', 'to other']"
3,9,15,1,properties (i.e. 'cold') attend to [CLS] token,"[""'cold') attend"", ""(i.e. 'cold')"", 'to [CLS]', 'properties (i.e.', '[CLS] token', 'attend to']"
3,11,15,1,'is' attends to '.' of previous statement and subject of current statement,"['of current', 'and subject', ""'is' attends"", 'current statement', 'of previous', ""'.' of"", ""to '.'"", 'attends to', ""'is' attend"", 'previous statement', 'statement and', 'subject of']"
3,11,15,1,most strongly property attends to subject,"['property attends', 'to subject', 'attends to', 'property at', 'property attend', 'strongly property', 'most strongly']"
3,11,15,1,'.' of current statement attends slightly to subject and 'is' of current statement,"['of current', 'statement attends', 'slightly to', ""and 'is'"", 'current statement', ""'.' of"", 'to subject', ""'is' of"", 'subject and', 'attends slightly']"
3,11,15,1,- again subjects attending to [CLS] token albeit weakly,"['albeit weakly', 'again subjects', 'token albeit', 'subjects attending', 'to [CLS]', '[CLS] token', 'attending to']"
3,0,15,1,start of formation of vertical lines at [sep] tokens,"['vertical line', 'of vertical', 'at [sep]', '[sep] tokens', '[sep] to', 'formation of', 'lines at', 'of formation', 'start of', 'vertical lines']"
3,1,15,1,clearer formation of vertical lines at [sep] tokens,"['vertical line', 'of vertical', 'at [sep]', '[sep] tokens', '[sep] to', 'formation of', 'lines at', 'clearer formation', 'vertical lines']"
3,1,15,1,similar square pattern around tokens starting and ending query (attend to each other and themselves),"['tokens starting', 'to each', 'square pattern', 'and the', 'each other', 'similar square', 'ending query', 'query (attend', 'starting and', 'other and', 'pattern around', 'and themselves)', 'attend to', 'around tokens', '(attend to', 'and ending']"
3,2,15,1,formation of vertical lines,"['vertical line', 'of vertical', 'formation of', 'vertical lines']"
3,2,15,1,very strong attention from [sep] to [sep] tokens,"['very strong', 'strong attention', '[sep] tokens', '[sep] to', 'attention from', 'from [sep]', 'to [sep]']"
3,2,15,1,less attention to [sep] tokens when already attended to previous tokens,"['less attention', 'when already', 'attention to', 'previous tokens', '[sep] tokens', '[sep] to', 'tokens when', 'already attended', 'to previous', 'attended to', 'previous token', 'to [sep]']"
3,3,15,1,most of tokens in if-statements (part differing across if-statements) attends to property token in consequence of if-statements,"['in consequence', 'property token', 'of if-statements', 'across if-statements)', '(part differing', 'differing across', 'tokens in', 'if-statements) attends', 'attends to', 'consequence of', 'of if-statement', 'most of', 'to property', 'token in', 'if-statements (part', 'in if-statement', 'of tokens', 'in if-statements']"
3,4,15,1,[sep] tokens attending to first [cls] token,"['first [cls]', 'to first', 'tokens at', '[sep] tokens', '[sep] to', 'tokens attending', 'tokens attend', 'attending to', '[cls] token']"
3,5,15,1,some subjects and properties attend to first [cls] token,"['first [cls]', 'to first', 'properties at', 'and properties', 'properties attend', 'some subjects', 'attend to', 'subjects and', '[cls] token']"
3,5,15,1,in general tokens attend to the previous token,"['in general', 'general tokens', 'tokens at', 'to the', 'the previous', 'tokens attend', 'attend to', 'previous token']"
3,6,15,1,subjects and properties attend to first [cls] token,"['first [cls]', 'to first', 'properties at', 'and properties', 'properties attend', 'attend to', 'subjects and', '[cls] token']"
3,6,15,1,delimiters attending to delimiters and 'is' attending to 'is' (and semantically similar tokens like 'are'),"[""like 'are')"", 'delimiters attending', ""and 'is'"", 'semantically similar', 'to delimiters', ""to 'is'"", ""'is' attending"", '(and semantically', 'tokens like', ""'is' attend"", 'similar tokens', 'delimiters and', 'similar to', 'attending to', ""'is' (and""]"
7,10,15,1,O-pattern for facts (which are not in query):,"['facts (which', 'O-pattern for', 'pattern for', 'which are', 'in query):', 'for facts', 'not in', '(which are', 'are not', 'in query']"
7,10,15,1,preceding dot attends to following fact,"['following fact', 'to following', 'attends to', 'preceding dot', 'dot attends']"
7,10,15,1,its 'is' token attends to the fact,"[""'is' token"", ""'is' to"", 'to the', 'attends to', 'token at', 'the fact', ""its 'is'"", 'token attends']"
7,10,15,1,cls tokens attending to 'is' and property of query fact in query,"['cls tokens', 'query fact', 'fact in', 'tokens at', ""to 'is'"", 'tokens attending', ""'is' and"", 'tokens attend', 'in query', 'attending to', 'of query', 'property of', 'and property']"
7,10,15,1,also query fact in theory attending to these 2 tokens of query fact in query,"['query fact', '2 tokens', 'tokens of', 'to these', 'fact in', 'theory attending', 'to the', 'in query', 'attending to', 'these 2', 'of query', 'in the', 'also query', 'in theory', 'theory attend']"
7,10,15,1,also again last dot attending to these 2 tokens of query fact in query,"['query fact', '2 tokens', 'tokens of', 'to these', 'fact in', 'last dot', 'dot attending', 'also again', 'again last', 'to the', 'in query', 'attending to', 'these 2', 'of query']"
7,10,15,1,also query fact itself attending to these two tokens of query fact in query,"['query fact', 'fact itself', 'tokens of', 'to these', 'fact in', 'to the', 'two tokens', 'itself attending', 'in query', 'attending to', 'of query', 'these two', 'also query']"
7,10,15,1,subject and 'is' in premise and consequence attending to following property,"[""'is' in"", 'in premise', 'following property', ""and 'is'"", 'to following', 'and consequence', 'subject and', 'attending to', 'premise and', 'consequence attending']"
10,4,15,1,only very strong vertical sep lines,"['vertical sep lines', 'very strong', 'only very', 'vertical sep', 'strong vertical', 'sep lines']"
8,2,15,1,again attention patterns mostly inside block regions,"['attention patterns', 'mostly inside', 'again attention', 'inside block', 'patterns mostly', 'block regions']"
3,10,15,1,'is' and '.' attend to nearby property tokens,"['property tokens', 'property token', ""'.' attend"", 'nearby property', ""and '.'"", 'to nearby', ""'is' and"", 'attend to']"
3,10,15,1,properties attend to nearby dots,"['properties at', 'nearby dots', 'properties attend', 'to nearby', 'attend to']"
3,8,15,1,again all tokens attending to [SEP] and [CLS] tokens,"['and [CLS]', 'all tokens', '[SEP] and', 'tokens at', '[CLS] tokens', 'tokens attending', '[CLS] token', 'tokens attend', 'again all', 'attending to', 'to [SEP]']"
8,1,15,1,strong vertical sep lines,"['vertical sep lines', 'vertical sep', 'strong vertical', 'sep lines']"
8,1,15,1,further mostly noise,"['mostly noise', 'further mostly']"
6,1,15,1,'then' attending to 'if' of same if-statement,"[""'then' attending"", ""'if' of"", 'of same', 'attending to', 'same if-statement', ""to 'if'""]"
6,3,15,1,strong vertical lines,"['vertical line', 'strong vertical', 'vertical lines']"
6,4,15,1,[cls] tokens attend to subject of query fact in theory,"['query fact', 'fact in', 'tokens at', 'to subject', '[cls] tokens', 'tokens attend', 'of query', 'attend to', 'in the', '[cls] token', 'subject of', 'in theory']"
6,4,15,1,again block forming with lower triangular pattern: tokens attending to previous tokens inside block with similar statements,"['lower triangular', 'in block', 'with similar', 'forming with', 'with lower', 'tokens inside', 'tokens at', 'block forming', 'again block', 'block with', 'triangular pattern:', 'tokens in', 'previous tokens', 'pattern: tokens', 'tokens attending', 'similar statements', 'tokens attend', 'inside block', 'to previous', 'block form', 'attending to', 'previous token']"
6,4,15,1,sub patterns: 'is' and property attend to their subject,"['to the', 'property at', 'sub patterns:', 'property attend', ""'is' and"", 'to their', 'their subject', 'attend to', ""patterns: 'is'"", 'and property']"
6,6,15,1,tokens attending to next token: 'is' to property and previous dot to subject,"['tokens at', ""token: 'is'"", ""'is' to"", 'to subject', 'tokens attending', 'next token', 'previous dot', 'to property', 'tokens attend', 'property and', 'next token:', 'attending to', 'to next', 'and previous', 'dot to']"
6,9,15,1,sometimes property of fact also attends to 'is',"['sometimes property', 'fact also', ""to 'is'"", 'also attends', 'attends to', 'of fact', 'property of']"
6,9,15,1,entailed fact attends to [cls] tokens,"['attends to', '[cls] tokens', 'fact attends', 'to [cls]', '[cls] token', 'entailed fact']"
6,10,15,1,'is' and property of premise attend to subject of premise,"['premise attend', 'of premise', 'to subject', ""'is' and"", 'attend to', 'property of', 'subject of', 'and property']"
6,10,15,1,'then' attends to 'if',"[""'then' attends"", 'attends to', ""to 'if'""]"
6,10,15,1,'is' and property attend to both 'then' and subject of consequence,"[""'then' and"", 'and subject', 'to both', 'property at', 'of consequence', ""both 'then'"", 'property attend', ""'is' and"", 'attend to', 'subject of', 'and property']"
6,10,15,1,again [cls] tokens and query fact in both theory and query attending to subject and property of query fact in theory,"['query fact', 'again [cls]', 'fact in', 'to subject', '[cls] tokens', 'both theory', 'in both', 'query attending', 'tokens and', 'subject and', 'query attend', 'attending to', 'of query', 'property of', 'in the', 'and query', '[cls] token', 'in theory', 'theory and', 'and property']"
